Problema,Tipo
un bombero tiene 76 teles y resta 54 teles ¿Cuanto queda?,Resta
Gustavo tiene 42 balones de voley y Ana tiene 18 balones de rugby ¿Cuantos balones hay en total?,Suma
Pablo tiene 82 balones de rugby y Federico tiene 13 balones de basquet ¿Cuantos balones hay en total?,Suma
Gustavo tiene 70 balones de rugby y Francisco tiene 2 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 72 pajaros en un arbol y se van volando 22 ¿Cuantos pajaros quedan?,Resta
Celeste tiene 30 balones de tenis y Ana tiene 14 balones de basquet ¿Cuantos balones hay en total?,Suma
fontanero tiene 93 sillas y resta 50 sillas ¿Cuantos tiene al final?,Resta
Lucas tiene 62 balones de futbol y Federico tiene 88 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 3 tortillas en una mesa y se comen 20 ¿Cuantos tortillas quedan?,Resta
hay 35 niños en clase y se van 60 ¿Cuantos niños quedan?,Resta
hay 83 pajaros en un arbol y se van volando 10 ¿Cuantos pajaros quedan?,Resta
fontanero tiene 22 lapices y le entregan 52 lapices ¿Cuantos hay al final ?,Suma
medico tiene 22 carteras y suma 74 carteras ¿Cuantos hay al final ?,Suma
hay 60 pajaros en un arbol y se van volando 19 ¿Cuantos pajaros quedan?,Resta
Una azafata tiene 59 lapices y suma 35 lapices ¿Cuantos tienen entre los dos?,Suma
perro tiene 53 unidades y añade 51 unidades ¿Cuantos hay en total?,Suma
cirujano tiene 93 carteras y le quitan 61 carteras ¿Cuanto queda?,Resta
paloma tiene 97 teles y excluye 93 teles ¿Cuanto queda?,Resta
hay 48 tortillas en una mesa y se comen 42 ¿Cuantos tortillas quedan?,Resta
Celeste tiene 98 coco y Gustavo tiene 46 platano ¿Cuantos frutas hay en total?,Suma
hay 50 tortillas en una mesa y se comen 10 ¿Cuantos tortillas quedan?,Resta
Julio tiene 86 papayas y Roberto tiene 63 sandias ¿Cuantos frutas hay en total?,Suma
profesor tiene 28 carteras y con una diferencia 4 carteras ¿Cuantos tiene al final?,Resta
Gustavo tiene 33 coco y Pedro tiene 5 melocotones ¿Cuantos frutas hay en total?,Suma
un cirujano tiene 84 unidades y le dan 43 unidades ¿Cuantos hay al final ?,Suma
un camarero tiene 57 teles y suma 98 teles ¿Cuantos tienen entre los dos?,Suma
Federico tiene 53 balones de basquet y Celeste tiene 3 balones de tenis ¿Cuantos balones hay en total?,Suma
pablito  tiene 45 unidades y le extraen 29 unidades ¿Cuantos tiene al final?,Resta
Francisco tiene 78 balones de voley y Roberto tiene 86 balones de rugby ¿Cuantos balones hay en total?,Suma
jose tiene 70 unidades y resta 45 unidades ¿Cuanto queda?,Resta
un policia tiene 12 lapices y excluye 11 lapices ¿Cuanto queda?,Resta
un actor tiene 78 relojes y le extraen 11 relojes ¿Cuantos le queda?,Resta
programador tiene 6 relojes y le entregan 19 relojes ¿Cuantos tienen entre los dos?,Suma
un cirujano tiene 73 balones y incluye 82 balones ¿Cuantos tienen entre los dos?,Suma
medico tiene 46 frutas y le dan 69 frutas ¿Cuantos hay en total?,Suma
perro tiene 78 animales y le extraen 3 animales ¿Cuanto queda?,Resta
cirujano tiene 20 relojes y con una diferencia 10 relojes ¿Cuantos tiene al final?,Resta
un obrero tiene 94 pajaros y le quitan 4 pajaros ¿Cuantos tiene al final?,Resta
un policia tiene 30 canicas y incluye 72 canicas ¿Cuantos hay en total?,Suma
hay 12 tortillas en una mesa y se comen 5 ¿Cuantos tortillas quedan?,Resta
Enrique tiene 96 moviles y incluye 25 moviles ¿Cuantos hay al final ?,Suma
hay 57 tortillas en una mesa y se comen 24 ¿Cuantos tortillas quedan?,Resta
Ana tiene 85 balones de basquet y Lorena tiene 19 balones de basquet ¿Cuantos balones hay en total?,Suma
Juan tiene 32 balones de basquet y Pablo tiene 83 balones de tenis ¿Cuantos balones hay en total?,Suma
Lorena tiene 24 platano y Federico tiene 66 uvas ¿Cuantos frutas hay en total?,Suma
hay 25 pajaros en un arbol y se van volando 23 ¿Cuantos pajaros quedan?,Resta
un perro tiene 36 teles y le dan 94 teles ¿Cuantos hay en total?,Suma
hay 91 niños en clase y se van 93 ¿Cuantos niños quedan?,Resta
un actor tiene 36 moviles y añade 4 moviles ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 81 piedras y le extraen 73 piedras ¿Cuantos tiene al final?,Resta
Lorena tiene 96 sandias y Lucas tiene 82 ciruela ¿Cuantos frutas hay en total?,Suma
jose tiene 82 teles y le quitan 64 teles ¿Cuantos tiene al final?,Resta
Juan tiene 99 sandias y Lorena tiene 47 papayas ¿Cuantos frutas hay en total?,Suma
Lorena tiene 9 balones de basquet y Pablo tiene 88 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 3 tortillas en una mesa y se comen 22 ¿Cuantos tortillas quedan?,Resta
Ana tiene 15 manzanas y Cesar tiene 27 toronjas ¿Cuantos frutas hay en total?,Suma
Juan tiene 77 peras y Lorena tiene 97 melocotones ¿Cuantos frutas hay en total?,Suma
Francisco tiene 80 peras y Juan tiene 36 uvas ¿Cuantos frutas hay en total?,Suma
un actor tiene 63 teles y le extraen 59 teles ¿Cuanto queda?,Resta
un profesor tiene 69 teles y le quitan 38 teles ¿Cuanto queda?,Resta
jose tiene 54 relojes y incluye 69 relojes ¿Cuantos hay al final ?,Suma
hay 43 pajaros en un arbol y se van volando 96 ¿Cuantos pajaros quedan?,Resta
hay 28 tortillas en una mesa y se comen 83 ¿Cuantos tortillas quedan?,Resta
Federico tiene 78 balones de voley y Ana tiene 60 balones de basquet ¿Cuantos balones hay en total?,Suma
Lucas tiene 76 uvas y Francisco tiene 60 peras ¿Cuantos frutas hay en total?,Suma
un cirujano tiene 97 pajaros y resta 67 pajaros ¿Cuanto queda?,Resta
Juan tiene 73 balones de basquet y Francisco tiene 2 balones de tenis ¿Cuantos balones hay en total?,Suma
Pablo tiene 44 balones de rugby y Roberto tiene 67 balones de basquet ¿Cuantos balones hay en total?,Suma
Julio tiene 30 coco y Pablo tiene 56 toronjas ¿Cuantos frutas hay en total?,Suma
hay 84 pajaros en un arbol y se van volando 79 ¿Cuantos pajaros quedan?,Resta
Pedro tiene 10 balones de rugby y Cesar tiene 1 balones de rugby ¿Cuantos balones hay en total?,Suma
Federico tiene 59 balones de rugby y Lorena tiene 12 balones de futbol ¿Cuantos balones hay en total?,Suma
Francisco tiene 17 uvas y Ana tiene 72 sandias ¿Cuantos frutas hay en total?,Suma
un albañil tiene 99 carteras y añade 33 carteras ¿Cuantos hay en total?,Suma
hay 35 tortillas en una mesa y se comen 33 ¿Cuantos tortillas quedan?,Resta
Gustavo tiene 25 coco y Lucas tiene 68 papayas ¿Cuantos frutas hay en total?,Suma
hay 83 pajaros en un arbol y se van volando 93 ¿Cuantos pajaros quedan?,Resta
hay 38 niños en clase y se van 68 ¿Cuantos niños quedan?,Resta
Enrique tiene 49 frutas y le dan 38 frutas ¿Cuantos tienen entre los dos?,Suma
Lorena tiene 20 manzanas y Francisco tiene 17 coco ¿Cuantos frutas hay en total?,Suma
hay 28 niños en clase y se van 49 ¿Cuantos niños quedan?,Resta
hay 86 niños en clase y se van 95 ¿Cuantos niños quedan?,Resta
Enrique tiene 36 frutas y excluye 25 frutas ¿Cuantos le queda?,Resta
Celeste tiene 47 peras y Federico tiene 25 uvas ¿Cuantos frutas hay en total?,Suma
hay 19 pajaros en un arbol y se van volando 66 ¿Cuantos pajaros quedan?,Resta
un camarero tiene 74 unidades y añade 4 unidades ¿Cuantos tienen entre los dos?,Suma
Lucas tiene 11 ciruela y Gustavo tiene 73 manzanas ¿Cuantos frutas hay en total?,Suma
cirujano tiene 80 moviles y resta 1 moviles ¿Cuantos tiene al final?,Resta
Pedro tiene 35 balones de futbol y Federico tiene 59 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 70 pajaros en un arbol y se van volando 70 ¿Cuantos pajaros quedan?,Resta
un policia tiene 76 canicas y le entregan 24 canicas ¿Cuantos tienen entre los dos?,Suma
profesor tiene 66 relojes y le extraen 57 relojes ¿Cuantos tiene al final?,Resta
Juan tiene 22 toronjas y Lorena tiene 10 coco ¿Cuantos frutas hay en total?,Suma
